row_id,order_id,order_date,ship_date,ship_mode,customer_id,customer_name,segment,country,city,state,postal_code,region,product_id,category,sub_category,product_name,sales,quantity,discount,profit,profit_margin,order_year
1,CA-2016-152156,2016-11-08,2016-11-11,Second Class,CG-12520,Claire Gute,Consumer,united states,Henderson,Kentucky,42420,south,FUR-BO-10001798,furniture,bookcases,bush somerset collection bookcase,261.96,2,0.0,41.9136,0.16000000000000003,2016
2,CA-2016-152156,2016-11-08,2016-11-11,Second Class,CG-12520,Claire Gute,Consumer,united states,Henderson,Kentucky,42420,south,FUR-CH-10000454,furniture,chairs,"hon deluxe fabric upholstered stacking chairs, rounded back",731.94,3,0.0,219.582,0.3,2016
3,CA-2016-138688,2016-06-12,2016-06-16,Second Class,DV-13045,Darrin Van Huff,Corporate,united states,Los Angeles,California,90036,west,OFF-LA-10000240,office supplies,labels,self-adhesive address labels for typewriters by universal,14.62,2,0.0,6.8714,0.47000000000000003,2016
4,US-2015-108966,2015-10-11,2015-10-18,Standard Class,SO-20335,Sean O'Donnell,Consumer,united states,Fort Lauderdale,Florida,33311,south,FUR-TA-10000577,furniture,tables,bretford cr4500 series slim rectangular table,957.5775,5,0.45,-383.031,-0.4,2015
5,US-2015-108966,2015-10-11,2015-10-18,Standard Class,SO-20335,Sean O'Donnell,Consumer,united states,Fort Lauderdale,Florida,33311,south,OFF-ST-10000760,office supplies,storage,eldon fold 'n roll cart system,22.368,2,0.2,2.5164,0.1125,2015
6,CA-2014-115812,2014-06-09,2014-06-14,Standard Class,BH-11710,Brosina Hoffman,Consumer,united states,Los Angeles,California,90032,west,FUR-FU-10001487,furniture,furnishings,"eldon expressions wood and plastic desk accessories, cherry wood",48.86,7,0.0,14.1694,0.29,2014
7,CA-2014-115812,2014-06-09,2014-06-14,Standard Class,BH-11710,Brosina Hoffman,Consumer,united states,Los Angeles,California,90032,west,OFF-AR-10002833,office supplies,art,newell 322,7.28,4,0.0,1.9656,0.27,2014
8,CA-2014-115812,2014-06-09,2014-06-14,Standard Class,BH-11710,Brosina Hoffman,Consumer,united states,Los Angeles,California,90032,west,TEC-PH-10002275,technology,phones,mitel 5320 ip phone voip phone,907.152,6,0.2,90.7152,0.09999999999999999,2014
9,CA-2014-115812,2014-06-09,2014-06-14,Standard Class,BH-11710,Brosina Hoffman,Consumer,united states,Los Angeles,California,90032,west,OFF-BI-10003910,office supplies,binders,dxl angle-view binders with locking rings by samsill,18.504,3,0.2,5.7825,0.31249999999999994,2014
10,CA-2014-115812,2014-06-09,2014-06-14,Standard Class,BH-11710,Brosina Hoffman,Consumer,united states,Los Angeles,California,90032,west,OFF-AP-10002892,office supplies,appliances,belkin f5c206vtel 6 outlet surge,114.9,5,0.0,34.47,0.3,2014
11,CA-2014-115812,2014-06-09,2014-06-14,Standard Class,BH-11710,Brosina Hoffman,Consumer,united states,Los Angeles,California,90032,west,FUR-TA-10001539,furniture,tables,chromcraft rectangular conference tables,1706.184,9,0.2,85.3092,0.05,2014
12,CA-2014-115812,2014-06-09,2014-06-14,Standard Class,BH-11710,Brosina Hoffman,Consumer,united states,Los Angeles,California,90032,west,TEC-PH-10002033,technology,phones,konftel 250 conference phone - charcoal black,911.424,4,0.2,68.3568,0.07500000000000001,2014
13,CA-2017-114412,2017-04-15,2017-04-20,Standard Class,AA-10480,Andrew Allen,Consumer,united states,Concord,North Carolina,28027,south,OFF-PA-10002365,office supplies,paper,xerox 1967,15.552,3,0.2,5.4432,0.35000000000000003,2017
14,CA-2016-161389,2016-12-05,2016-12-10,Standard Class,IM-15070,Irene Maddox,Consumer,united states,Seattle,Washington,98103,west,OFF-BI-10003656,office supplies,binders,fellowes pb200 plastic comb binding machine,407.976,3,0.2,132.5922,0.32499999999999996,2016
15,US-2015-118983,2015-11-22,2015-11-26,Standard Class,HP-14815,Harold Pawlan,Home Office,united states,Fort Worth,Texas,76106,central,OFF-AP-10002311,office supplies,appliances,"holmes replacement filter for hepa air cleaner, very large room, hepa filter",68.81,5,0.8,-123.858,-1.8,2015
